iso_code,wb_cat
AFG,Low income
ALB,Upper middle income
DZA,Lower middle income
AND,High income
AGO,Lower middle income
AIA,No Category
ATA,No Category
ATG,High income
ARG,Upper middle income
ARM,Upper middle income
ABW,High income
AUS,High income
AUT,High income
AZE,Upper middle income
BHS,High income
BHR,High income
BGD,Lower middle income
BRB,High income
BLR,Upper middle income
BEL,High income
BLZ,Lower middle income
BEN,Lower middle income
BMU,High income
BTN,Lower middle income
BOL,Lower middle income
BES,No Category
BIH,Upper middle income
BWA,Upper middle income
BRA,Upper middle income
VGB,High income
BRN,High income
BGR,Upper middle income
BFA,Low income
BDI,Low income
KHM,Lower middle income
CMR,Lower middle income
CAN,High income
CPV,Lower middle income
CAF,Low income
TCD,Low income
CHL,High income
CHN,Upper middle income
CXR,No Category
COL,Upper middle income
COM,Lower middle income
COG,Lower middle income
COK,No Category
CRI,Upper middle income
CIV,Lower middle income
HRV,High income
CUB,Upper middle income
CUW,High income
CYP,High income
CZE,High income
COD,Low income
DNK,High income
DJI,Lower middle income
DMA,Upper middle income
DOM,Upper middle income
ECU,Upper middle income
EGY,Lower middle income
SLV,Lower middle income
GNQ,Upper middle income
ERI,Low income
EST,High income
SWZ,Lower middle income
ETH,Low income
FRO,High income
FJI,Upper middle income
FIN,High income
FRA,High income
GUF,No Category
PYF,High income
GAB,Upper middle income
GMB,Low income
GEO,Upper middle income
DEU,High income
GHA,Lower middle income
GRC,High income
GRL,High income
GRD,Upper middle income
GLP,No Category
GTM,Upper middle income
GIN,Low income
GNB,Low income
GUY,Upper middle income
HTI,Lower middle income
HND,Lower middle income
HKG,High income
HUN,High income
ISL,High income
IND,Lower middle income
IDN,Lower middle income
IRN,Lower middle income
IRQ,Upper middle income
IRL,High income
ISR,High income
ITA,High income
JAM,Upper middle income
JPN,High income
JOR,Upper middle income
KAZ,Upper middle income
KEN,Lower middle income
KIR,Lower middle income
KWT,High income
KGZ,Lower middle income
LAO,Lower middle income
LVA,High income
LBN,Upper middle income
LSO,Lower middle income
LBR,Low income
LBY,Upper middle income
LIE,High income
LTU,High income
LUX,High income
MDG,Low income
MWI,Low income
MYS,Upper middle income
MDV,Upper middle income
MLI,Low income
MLT,High income
MHL,Upper middle income
MTQ,No Category
MRT,Lower middle income
MUS,Upper middle income
MYT,No Category
MEX,Upper middle income
MDA,Upper middle income
MNG,Lower middle income
MNE,Upper middle income
MSR,No Category
MAR,Lower middle income
MOZ,Low income
MMR,Lower middle income
NAM,Upper middle income
NRU,High income
NPL,Lower middle income
NLD,High income
NCL,High income
NZL,High income
NIC,Lower middle income
NER,Low income
NGA,Lower middle income
NIU,No Category
PRK,Low income
MKD,Upper middle income
NOR,High income
OMN,High income
PAK,Lower middle income
PLW,High income
PSE,Lower middle income
PAN,Upper middle income
PNG,Lower middle income
PRY,Upper middle income
PER,Upper middle income
PHL,Lower middle income
POL,High income
PRT,High income
PRI,High income
QAT,High income
ROU,Upper middle income
RUS,Upper middle income
RWA,Low income
SHN,No Category
KNA,High income
LCA,Upper middle income
SPM,No Category
VCT,Upper middle income
WSM,Lower middle income
STP,Lower middle income
SAU,High income
SEN,Lower middle income
SRB,Upper middle income
SYC,High income
SLE,Low income
SGP,High income
SXM,High income
SVK,High income
SVN,High income
SLB,Lower middle income
SOM,Low income
ZAF,Upper middle income
KOR,High income
SSD,Low income
ESP,High income
LKA,Lower middle income
SDN,Low income
SUR,Upper middle income
SWE,High income
CHE,High income
SYR,Low income
TWN,High income
TJK,Lower middle income
TZA,Lower middle income
THA,Upper middle income
TLS,Lower middle income
TGO,Low income
TON,Upper middle income
TTO,High income
TUN,Lower middle income
TUR,Upper middle income
TKM,Upper middle income
TCA,High income
TUV,Upper middle income
UGA,Low income
UKR,Lower middle income
ARE,High income
GBR,High income
USA,High income
URY,High income
UZB,Lower middle income
VUT,Lower middle income
VEN,No Category
VNM,Lower middle income
YEM,Low income
ZMB,Lower middle income
ZWE,Lower middle income
